Id_x;OwnerId;IsDeleted;Name_x;CurrencyIsoCode_x;CreatedDate_x;CreatedById_x;LastModifiedDate_x;LastModifiedById_x;SystemModstamp_x;Construction__c;Product__c;Gestao_de_Consumos__c;Interconnection_Site__c;Interconnection_Voltage_Level__c;Installation_Type__c;Mobi_E_Connection__c;Technical_Observations__c;Number_of_Charging_Stations__c;Number_of_Equipment_Installed_PIEE__c;Designacao_Local_Interligacao__c;Nivel_Tensao__c;TRE_OPC__c;Asset__c;EV_Charge_Connection__c;Source__c;Responsibility_for_TRE__c;Construction_Name__c;Generate_Template__c;Technical_Control_Template__c;MOBI_E_DPC_Connection__c;Quote__c;Electric_Mobility_Type__c;POD_Production__c;ct_id;salesforce_id;origem;numero_postos_carregamento;Id_y;Name_y;CurrencyIsoCode_y;RecordTypeId;CreatedDate_y;CreatedById_y;LastModifiedDate_y;LastModifiedById_y;SystemModstamp_y;Controlo_Tecnico__c;OtherBrand__c;Equipment_Type__c;Model__c;Warranty_years__c;Accessibility__c;Card_Number__c;GPRS_ICCID__c;ID_Mobi_E__c;Localization__c;Number_of_Points__c;Potencia_kW__c;Serial_Number__c;Observations__c;Fixation_Type__c;Location__Latitude__s;Location__Longitude__s;Location__c;N_Plugs__c;BrandModel__c;Brand_and_Model_Name__c;Material_Code__c;Power_kW_matrix__c;Warranty_years_Matrix__c;Exist_Serial_Number__c;eq_id;latitude;longitude
a2p7S000000CcrkQAC;0053X00000CS3iMQAT;False;CT-0020763;EUR;2022-01-28T17:46:39.000+0000;0053X00000CS3iMQAT;2024-08-14T09:00:54.000+0000;005b0000000c1ccAAA;2026-06-23T16:53:08.000+0000;;01t0X000008hGHUQA2;False;;;B;True;;1.0;0.0;;MT;;02i0X00000LZ3atQAD;False;GA;;;False;;False;;;;a2p7S000000CcrkQAC;02i0X00000LZ3atQAD;GA;1.0;a487S000000PCI7QAO;FAR-00023;EUR;0123X000000eQvDQAU;2022-02-11T17:21:28.000+0000;0053X00000CS3iMQAT;2025-07-29T17:32:39.000+0000;005b0000005zonLAAQ;2025-07-29T17:32:39.000+0000;a2p7S000000CcrkQAC;Alfen;Charging_Post;Eve Single Pro-Line 1PH;1.0;Private with Public Access;926891176;8934076179015990719;FAR-00023;Interior Park;1.0;7.4;ACE0005567;;Mural;37.096835;-7.895323;OrderedDict({'latitude': 37.096835, 'longitude': -7.895323});1.0;a4p7S000000LHy5QAG;Alfen | Eve Single Pro-line. T2S 1PH 1FC 1x7,4kW;20177465;7.4;2.0;0.0;a487S000000PCI7QAO;37.096835;-7.895323
a2p7S000000CcrfQAC;0053X00000CS3iMQAT;False;CT-0020762;EUR;2022-01-28T17:46:39.000+0000;0053X00000CS3iMQAT;2024-08-14T09:00:54.000+0000;005b0000000c1ccAAA;2026-06-23T16:53:08.000+0000;;01t0X000008hGHUQA2;False;;;B;True;;1.0;0.0;;MT;;02i0X00000LZ3auQAD;False;GA;;;False;;False;;;;a2p7S000000CcrfQAC;02i0X00000LZ3auQAD;GA;1.0;a487S000000PCI2QAO;FAR-00022;EUR;0123X000000eQvDQAU;2022-02-11T17:21:28.000+0000;0053X00000CS3iMQAT;2025-07-29T17:32:39.000+0000;005b0000005zonLAAQ;2025-07-29T17:32:39.000+0000;a2p7S000000CcrfQAC;Alfen;Charging_Post;Eve Single Pro-Line 1PH;1.0;Private with Public Access;926891075;-;FAR-00022;Interior Park;1.0;7.4;ACE0005563;;Mural;37.096835;-7.895323;OrderedDict({'latitude': 37.096835, 'longitude': -7.895323});1.0;a4p7S000000LHy5QAG;Alfen | Eve Single Pro-line. T2S 1PH 1FC 1x7,4kW;20177465;7.4;2.0;0.0;a487S000000PCI2QAO;37.096835;-7.895323
a2p7S000000Ccu0QAC;0053X00000CS3iMQAT;False;CT-0020798;EUR;2022-01-28T17:46:47.000+0000;0053X00000CS3iMQAT;2024-08-14T09:00:54.000+0000;005b0000000c1ccAAA;2026-06-23T16:53:08.000+0000;;01t0X000008hGHUQA2;False;;;C;True;;1.0;0.0;;BT;;02i0X00000LZ3avQAD;False;GA;;;False;;False;;;;a2p7S000000Ccu0QAC;02i0X00000LZ3avQAD;GA;1.0;a487S000000PCKNQA4;LRS-00044;EUR;0123X000000eQvDQAU;2022-02-11T17:21:47.000+0000;0053X00000CS3iMQAT;2025-07-29T17:32:39.000+0000;005b0000005zonLAAQ;2025-07-29T17:32:39.000+0000;a2p7S000000Ccu0QAC;EFACEC;Charging_Post;Efapower EV QC45;1.0;Private with Public Access;926890878;-;LRS-00044;Service Area;1.0;93.0;02.S95-06138;;Postalete;38.823007;-9.088169;OrderedDict({'latitude': 38.823007, 'longitude': -9.088169});3.0;a4p7S000000LI3MQAW;Efacec | EV QC45. (CHA50+CCS50+AC43);20197993;96.0;2.0;0.0;a487S000000PCKNQA4;38.823007;-9.088169
a2p7S000000CcvdQAC;0053X00000CS3iMQAT;False;CT-0020888;EUR;2022-01-28T17:47:11.000+0000;0053X00000CS3iMQAT;2024-08-14T09:00:56.000+0000;005b0000000c1ccAAA;2026-06-23T16:53:08.000+0000;;01t0X000008hGHUQA2;False;;;B;True;;1.0;0.0;;MT;;02i0X00000LZ3awQAD;False;GA;;;False;;False;;;;a2p7S000000CcvdQAC;02i0X00000LZ3awQAD;GA;1.0;a487S000000PCP3QAO;MTS-00011;EUR;0123X000000eQvDQAU;2022-02-11T17:22:25.000+0000;0053X00000CS3iMQAT;2025-07-29T17:32:39.000+0000;005b0000005zonLAAQ;2025-07-29T17:32:39.000+0000;a2p7S000000CcvdQAC;EFACEC;Charging_Post;Efapower EV QC45;1.0;Private with Public Access;926891158;8935103196303612486;MTS-00011;Service Area;1.0;93.0;02.S95-06147;;Postalete;41.185871;-8.624154;OrderedDict({'latitude': 41.185871, 'longitude': -8.624154});3.0;a4p7S000000LI3MQAW;Efacec | EV QC45. (CHA50+CCS50+AC43);20197993;96.0;2.0;0.0;a487S000000PCP3QAO;41.185871;-8.624154
a2p7S000000CcnGQAS;0053X00000CS3iMQAT;False;CT-0020916;EUR;2022-01-28T17:47:17.000+0000;0053X00000CS3iMQAT;2024-08-14T09:00:56.000+0000;005b0000000c1ccAAA;2026-06-23T16:53:08.000+0000;;01t0X000008hGHUQA2;False;;;B;True;;1.0;0.0;;MT;;02i0X00000LZ3axQAD;False;GA;;;False;;False;;;;a2p7S000000CcnGQAS;02i0X00000LZ3axQAD;GA;1.0;a487S000000PCQfQAO;PRT-00029;EUR;0123X000000eQvDQAU;2022-02-11T17:22:36.000+0000;0053X00000CS3iMQAT;2025-07-29T17:32:39.000+0000;005b0000005zonLAAQ;2025-07-29T17:32:39.000+0000;a2p7S000000CcnGQAS;Alfen;Charging_Post;Eve Single Pro-Line 1PH;1.0;Private with Public Access;926890887;-;PRT-00029;Uncovered Outdoor Park;1.0;7.4;ACE0002715;;Postalete;41.143765;-8.575556;OrderedDict({'latitude': 41.143765, 'longitude': -8.575556});1.0;a4p7S000000LHy5QAG;Alfen | Eve Single Pro-line. T2S 1PH 1FC 1x7,4kW;20177465;7.4;2.0;0.0;a487S000000PCQfQAO;41.143765;-8.575556
a2p7S000000Ccz1QAC;0053X00000CS3iMQAT;False;CT-0020915;EUR;2022-01-28T17:47:17.000+0000;0053X00000CS3iMQAT;2024-08-14T09:00:56.000+0000;005b0000000c1ccAAA;2026-06-23T16:53:08.000+0000;;01t0X000008hGHUQA2;False;;;B;True;;1.0;0.0;;MT;;02i0X00000LZ3ayQAD;False;GA;;;False;;False;;;;a2p7S000000Ccz1QAC;02i0X00000LZ3ayQAD;GA;1.0;a487S000000PCQaQAO;PRT-00028;EUR;0123X000000eQvDQAU;2022-02-11T17:22:35.000+0000;0053X00000CS3iMQAT;2025-07-29T17:32:39.000+0000;005b0000005zonLAAQ;2025-07-29T17:32:39.000+0000;a2p7S000000Ccz1QAC;Alfen;Charging_Post;Eve Single Pro-Line 1PH;1.0;Private with Public Access;926890909;-;PRT-00028;Uncovered Outdoor Park;1.0;7.4;ACE0005566;;Postalete;41.143765;-8.575556;OrderedDict({'latitude': 41.143765, 'longitude': -8.575556});1.0;a4p7S000000LHy5QAG;Alfen | Eve Single Pro-line. T2S 1PH 1FC 1x7,4kW;20177465;7.4;2.0;0.0;a487S000000PCQaQAO;41.143765;-8.575556
a2p7S000000CcvWQAS;0053X00000CS3iMQAT;False;CT-0020943;EUR;2022-01-28T17:47:23.000+0000;0053X00000CS3iMQAT;2024-08-14T09:00:56.000+0000;005b0000000c1ccAAA;2026-06-23T16:53:08.000+0000;;01t0X000008hGHUQA2;False;;;B;True;;1.0;0.0;;MT;;02i0X00000LZ3azQAD;False;GA;;;False;;False;;;;a2p7S000000CcvWQAS;02i0X00000LZ3azQAD;GA;1.0;a487S000000PCR0QAO;PTM-00004;EUR;0123X000000eQvDQAU;2022-02-11T17:22:44.000+0000;0053X00000CS3iMQAT;2025-07-29T17:32:39.000+0000;005b0000005zonLAAQ;2025-07-29T17:32:39.000+0000;a2p7S000000CcvWQAS;Alfen;Charging_Post;Eve Single Pro-Line 1PH;1.0;Private with Public Access;-;-;PTM-00004;Uncovered Outdoor Park;1.0;7.4;ACE0003305;;Postalete;37.1246001;-8.57745;OrderedDict({'latitude': 37.1246001, 'longitude': -8.57745});1.0;a4p7S000000LHy5QAG;Alfen | Eve Single Pro-line. T2S 1PH 1FC 1x7,4kW;20177465;7.4;2.0;0.0;a487S000000PCR0QAO;37.1246001;-8.57745
a2p7S000000Cd1QQAS;0053X00000CS3iMQAT;False;CT-0020944;EUR;2022-01-28T17:47:24.000+0000;0053X00000CS3iMQAT;2024-08-14T09:00:56.000+0000;005b0000000c1ccAAA;2026-06-23T16:53:08.000+0000;;01t0X000008hGHUQA2;False;;;B;True;;1.0;0.0;;MT;;02i0X00000LZ3b0QAD;False;GA;;;False;;False;;;;a2p7S000000Cd1QQAS;02i0X00000LZ3b0QAD;GA;1.0;a487S000000PCRYQA4;PTM-00005;EUR;0123X000000eQvDQAU;2022-02-11T17:22:44.000+0000;0053X00000CS3iMQAT;2025-07-29T17:32:39.000+0000;005b0000005zonLAAQ;2025-07-29T17:32:39.000+0000;a2p7S000000Cd1QQAS;Alfen;Charging_Post;Eve Single Pro-Line 1PH;1.0;Private with Public Access;-;-;PTM-00005;Uncovered Outdoor Park;1.0;7.4;ACE0002714;;Postalete;37.1246001;-8.57745;OrderedDict({'latitude': 37.1246001, 'longitude': -8.57745});1.0;a4p7S000000LHy5QAG;Alfen | Eve Single Pro-line. T2S 1PH 1FC 1x7,4kW;20177465;7.4;2.0;0.0;a487S000000PCRYQA4;37.1246001;-8.57745
a2p7S000000Cd1VQAS;0053X00000CS3iMQAT;False;CT-0020945;EUR;2022-01-28T17:47:26.000+0000;0053X00000CS3iMQAT;2024-08-14T09:00:56.000+0000;005b0000000c1ccAAA;2026-06-23T16:53:08.000+0000;;01t0X000008hGHUQA2;False;;;B;True;;1.0;0.0;;MT;;02i0X00000LZ3b1QAD;False;GA;;;False;;False;;;;a2p7S000000Cd1VQAS;02i0X00000LZ3b1QAD;GA;1.0;a487S000000PCRdQAO;PTM-00006;EUR;0123X000000eQvDQAU;2022-02-11T17:22:45.000+0000;0053X00000CS3iMQAT;2025-07-29T17:32:39.000+0000;005b0000005zonLAAQ;2025-07-29T17:32:39.000+0000;a2p7S000000Cd1VQAS;Alfen;Charging_Post;Eve Single Pro-Line 1PH;1.0;Private with Public Access;-;-;PTM-00006;Uncovered Outdoor Park;1.0;7.4;ACE0002307;;Postalete;37.1246001;-8.57745;OrderedDict({'latitude': 37.1246001, 'longitude': -8.57745});1.0;a4p7S000000LHy5QAG;Alfen | Eve Single Pro-line. T2S 1PH 1FC 1x7,4kW;20177465;7.4;2.0;0.0;a487S000000PCRdQAO;37.1246001;-8.57745
a2p7S000000Cd1aQAC;0053X00000CS3iMQAT;False;CT-0020946;EUR;2022-01-28T17:47:26.000+0000;0053X00000CS3iMQAT;2024-08-14T09:00:56.000+0000;005b0000000c1ccAAA;2026-06-23T16:53:08.000+0000;;01t0X000008hGHUQA2;False;;;B;True;;1.0;0.0;;MT;;02i0X00000LZ3b2QAD;False;GA;;;False;;False;;;;a2p7S000000Cd1aQAC;02i0X00000LZ3b2QAD;GA;1.0;a487S000000PCRiQAO;PTM-00007;EUR;0123X000000eQvDQAU;2022-02-11T17:22:45.000+0000;0053X00000CS3iMQAT;2025-07-29T17:32:39.000+0000;005b0000005zonLAAQ;2025-07-29T17:32:39.000+0000;a2p7S000000Cd1aQAC;Alfen;Charging_Post;Eve Single Pro-Line 1PH;1.0;Private with Public Access;-;-;PTM-00007;Uncovered Outdoor Park;1.0;7.4;ACE0002716;;Postalete;37.1246001;-8.57745;OrderedDict({'latitude': 37.1246001, 'longitude': -8.57745});1.0;a4p7S000000LHy5QAG;Alfen | Eve Single Pro-line. T2S 1PH 1FC 1x7,4kW;20177465;7.4;2.0;0.0;a487S000000PCRiQAO;37.1246001;-8.57745
a2p7S000000Cd3HQAS;0053X00000CS3iMQAT;False;CT-0020990;EUR;2022-01-28T17:47:37.000+0000;0053X00000CS3iMQAT;2024-08-14T09:00:54.000+0000;005b0000000c1ccAAA;2026-06-23T16:53:08.000+0000;;01t0X000008hGHUQA2;False;;;B;True;;1.0;0.0;;MT;;02i0X00000LZ3b3QAD;False;GA;;;False;;False;;;;a2p7S000000Cd3HQAS;02i0X00000LZ3b3QAD;GA;1.0;a487S000000PCJfQAO;SXL-00002;EUR;0123X000000eQvDQAU;2022-02-11T17:23:04.000+0000;0053X00000CS3iMQAT;2025-07-29T17:32:39.000+0000;005b0000005zonLAAQ;2025-07-29T17:32:39.000+0000;a2p7S000000Cd3HQAS;EFACEC;Charging_Post;Efapower EV QC45;1.0;Private with Public Access;926912005;-;SXL-00002;Service Area;1.0;93.0;02.S95-06141;;Postalete;38.609894;-9.09866;OrderedDict({'latitude': 38.609894, 'longitude': -9.09866});3.0;a4p7S000000LI3MQAW;Efacec | EV QC45. (CHA50+CCS50+AC43);20197993;96.0;2.0;0.0;a487S000000PCJfQAO;38.609894;-9.09866
a2p7S000000CczaQAC;0053X00000CS3iMQAT;False;CT-0021003;EUR;2022-01-28T17:47:40.000+0000;0053X00000CS3iMQAT;2024-08-14T09:01:25.000+0000;005b0000000c1ccAAA;2026-06-23T16:53:08.000+0000;;01t0X000008hGHUQA2;False;;;B;True;;1.0;0.0;;MT;;02i0X00000LZ3b4QAD;False;GA;;;False;;False;;;;a2p7S000000CczaQAC;02i0X00000LZ3b4QAD;GA;1.0;a487S000000sc0CQAQ;TVR-00002;EUR;0123X000000eQvDQAU;2022-09-01T14:25:25.000+0000;0053X00000CS3iMQAT;2025-07-29T17:32:44.000+0000;005b0000005zonLAAQ;2025-07-29T17:32:44.000+0000;a2p7S000000CczaQAC;Alfen;Charging_Post;Eve Single Pro-Line 1PH;10.0;Private with Public Access;926891207;89351060000763923461;TVR-00002;Covered Outdoor Park;1.0;7.4;ACE0005565;;Mural;37.125096;-7.652786;OrderedDict({'latitude': 37.125096, 'longitude': -7.652786});1.0;a4p7S000000LHy5QAG;Alfen | Eve Single Pro-line. T2S 1PH 1FC 1x7,4kW;20177465;7.4;2.0;0.0;a487S000000sc0CQAQ;37.125096;-7.652786
